#Sector	Layer	Component	Order	Mean	Sigma

2	2	7	0	6007.165533	799.662311
2	2	7	1	5665.977822	774.648743
3	2	1	0	8814.408954	837.758653
3	2	1	1	28477.921882	4286.195219
3	2	2	0	24348.897746	4814.929557
3	2	2	1	26253.417859	4713.733314
3	2	3	0	15912.132243	1420.886850
3	2	3	1	17524.095145	1519.628621
3	2	4	0	15876.615164	1502.617376
3	2	4	1	15442.227532	1477.827915
3	2	5	0	21579.454456	1486.598995
3	2	5	1	19824.498094	1672.093014
3	2	6	0	13929.134514	1541.010128
3	2	6	1	18152.390998	1700.305483
4	2	1	0	25727.142305	4737.341645
4	2	1	1	24108.055839	4662.401370
4	2	2	0	19388.738469	1418.249681
4	2	2	1	21377.502769	1324.287063
4	2	3	0	15827.855846	1531.436984
4	2	3	1	15184.120725	1415.002556
4	2	4	0	18399.542991	1604.497410
4	2	4	1	17542.777518	1580.882618
4	2	5	0	27095.407699	13782.778916
4	2	5	1	18446.649128	1388.022382
4	2	6	0	11659.060314	1351.185993
4	2	6	1	11568.771997	1268.983987
5	2	1	0	4620.807847	688.672841
5	2	1	1	5913.740024	891.890103
5	2	2	0	6672.647750	887.114881
5	2	2	1	5760.363223	858.840205
1	3	1	0	7536.482337	1572.980288
1	3	1	1	8845.277025	1327.358514
1	3	2	0	9285.120155	1106.180920
1	3	2	1	7779.029624	922.020547
1	3	3	0	9813.534898	1247.505602
1	3	3	1	11162.521418	1369.456146
2	3	1	0	3664.732756	786.395639
2	3	1	1	4127.385532	827.791339
2	3	2	0	8470.237678	1697.043417
2	3	2	1	6569.870875	1171.179609
2	3	3	0	5555.869623	834.124138
2	3	3	1	5994.784395	813.152758
2	3	4	0	5848.366670	833.990070
2	3	4	1	6303.470773	839.941966
2	3	5	0	5955.480641	795.001771
2	3	5	1	5132.380936	688.687525
2	3	6	0	5883.887741	777.844801
2	3	6	1	5982.251994	862.726192
2	3	7	0	5347.340257	729.350020
2	3	7	1	5993.728272	835.167982
3	3	1	0	15346.258615	1507.825011
3	3	1	1	14431.208309	1417.452808
3	3	2	0	17199.749553	1513.239923
3	3	2	1	19428.247678	1567.619417
3	3	3	0	13487.930753	1512.508961
3	3	3	1	14784.589353	1595.188293
3	3	4	0	30951.966104	4802.138580
3	3	4	1	28129.195033	5097.306719
3	3	5	0	24562.378746	4862.044647
3	3	5	1	15705.515780	1516.007553
3	3	6	0	24071.804169	4250.893732
3	3	6	1	27575.213388	5025.341546
4	3	1	0	37711.458365	4921.393817
4	3	1	1	35444.653873	4656.576619
4	3	2	0	23158.084801	3358.867046
4	3	2	1	16461.510000	3400.206525
4	3	3	0	35791.731302	4483.009402
4	3	3	1	36089.717787	4651.146863
4	3	4	0	15455.408495	1549.377548
4	3	4	1	16371.553101	1567.121561
4	3	5	0	17571.800017	1626.592485
4	3	5	1	19507.026653	1561.072198
4	3	6	0	14234.600959	1419.104058
4	3	6	1	12535.312408	1289.191719
5	3	1	0	4747.610707	697.886259
5	3	1	1	-1.000000	-1.000000
5	3	2	0	7451.990798	1105.575478
5	3	2	1	6150.721983	822.874223
1	4	1	0	6017.226632	703.446907
1	4	1	1	6799.291529	1479.416049
1	4	2	0	10565.191195	1200.645893
1	4	2	1	9583.913000	1426.370049
1	4	3	0	10704.269135	1316.470758
1	4	3	1	9609.703847	1185.175874
2	4	1	0	2354.505688	708.851731
2	4	1	1	2250.089766	625.159717
2	4	2	0	6403.812399	859.588096
2	4	2	1	5225.012628	832.979728
2	4	3	0	5734.610804	814.820548
2	4	3	1	7749.193258	1118.028417
2	4	4	0	5213.156156	778.908998
2	4	4	1	4836.254926	691.986533
2	4	5	0	6804.398052	900.766529
2	4	5	1	10386.478602	1350.379584
2	4	6	0	4601.000060	1088.052835
2	4	6	1	6293.725184	811.622382
